04 AK 1 (4684,3459) 58x94
04 AK 2 (3818,2602) 76x93
04 AK 3 (3996,1887) 78x92
04 AK 4 (3601,2172) 76x94
04 AK 5 (3264,1580) 78x94
04 AK 6 (2817,1281) 79x90
04 AK 7 (2820,872) 74x94
04 AK 8 (2309,1010) 79x92
04 AK 9 (2412,1297) 78x93
04 AK 10 (2552,1511) 108x94
04 AK 11 (2792,1902) 99x94
04 AK 12 (3226,1913) 108x94
04 AK 13 (2628,2290) 109x94
04 AK 14 (2454,2414) 105x93
04 AK 15 (3182,2708) 109x94
04 AK 16 (2896,2830) 109x94
04 AK 17 (2523,3154) 106x96
04 AK 18 (2623,3360) 109x94
04 AK 19 (3004,3406) 108x94
04 AK 20 (2661,3627) 117x93
04 AK 21 (2992,3631) 108x94
04 AK 22 (3254,3528) 120x98
04 AK 23 (3440,3597) 118x93
04 AK 24 (3151,3940) 114x95
04 AK 25 (3646,3459) 68x60
04 AK 26 (4225,3330) 118x93
04 AK 27 (4159,4241) 94x80
04 AK 28 (4014,4148) 97x78
04 AK 29 (4388,4136) 97x78
04 AK 30 (2242,4218) 118x92
04 AK 31 (1813,5688) 109x94
04 AK 32 (2940,5324) 118x93
04 AK 32 (1382,3283) 118x93
05 EX 1 (3183,6318) 112x170
05 EX 2 (4685,6924) 129x166
05 EX 3 (3526,5727) 132x169
05 EX 4 (5204,6859) 137x169
05 EX 5 (238,5880) 132x170
05 EX 6 (4078,3600) 132x170
05 EX 7 (7243,2867) 126x170
05 EX 8 (5629,5725) 133x169
05 EX 9 (5481,3731) 132x170
05 EX 10 (6355,3219) 207x171
05 EX 11 (5922,2400) 197x168
05 EX 12 (5283,2303) 206x170
05 EX 13 (2088,5879) 208x171
05 EX 14 (3028,3997) 209x170
05 EX 15 (2601,3830) 207x171
05 EX 16 (3303,4678) 173x141
05 EX 17 (3670,6178) 204x173
06 AV 1 (3734,5035) 60x94
06 AV 1-1 (7099,4590) 168x119
06 AV 2 (4262,4901) 83x102
06 AV 2-1 (6674,3744) 593x124
06 AV 2-23 (6674,4757) 662x122
06 AV 2-54 (6674,3408) 661x122
06 AV 2-64 (7089,4096) 225x100
06 AV 2-65 (7511,4090) 248x104
06 AV 3 (1685,5690) 85x104
06 AV 3 (4834,4951) 85x106
06 AV 3-1 (7445,4254) 176x117
06 AV 3-50A (6674,4925) 736x123
06 AV 3-52A (6674,3576) 736x122
06 AV 4 (222,4297) 85x105
06 AV 4 (5118,3920) 85x105
